Date,Close,LSTM-PRED,RNN-PRED,XGBOOST-PRED
2017-10-09,208.3,214.1122,200.49298,209.78833
2017-10-10,208.45,214.67624,202.46953,206.0346
2017-10-11,209.4,215.49736,200.84634,210.11002
2017-10-12,212.0,216.48065,201.45772,210.11002
2017-10-13,210.25,217.6366,200.17131,210.11002
2017-10-16,209.6,218.8158,201.65953,210.11002
2017-10-17,210.3,219.88995,201.43242,210.11002
2017-10-18,206.8,220.81862,202.2346,210.11002
2017-10-19,204.6,221.41841,201.97433,210.11002
2017-10-23,203.1,221.56169,200.8413,207.51613
2017-10-24,209.65,221.20685,200.05365,207.51613
2017-10-25,205.3,220.729,197.17194,210.11002
2017-10-26,209.8,220.10811,199.72826,210.11002
2017-10-27,220.50000000000003,219.60245,198.09409,210.11002
2017-10-30,226.8,219.77773,200.87077,210.11002
2017-10-31,226.94999999999996,221.00377,204.4269,210.11002
2017-11-01,227.80000000000004,223.21672,210.08452,210.11002
2017-11-02,226.35,226.19125,215.13773,210.11002
2017-11-03,225.29999999999998,229.52696,216.05934,210.11002
2017-11-06,234.7,232.82607,216.56041,210.11002
2017-11-07,225.0,236.24306,213.54037,210.11002
2017-11-08,224.49999999999997,239.2111,217.14987,210.11002
2017-11-09,240.45,241.47995,215.75098,210.11002
2017-11-10,236.14999999999998,243.72646,215.16023,210.11002
2017-11-13,234.4,245.89272,217.64233,210.11002
2017-11-14,246.7,247.83821,220.02196,210.11002
2017-11-15,250.89999999999998,250.06213,224.04239,210.11002
2017-11-16,251.95,252.79416,225.52618,210.11002
2017-11-17,259.9,255.98782,230.66676,210.11002
2017-11-20,274.9,259.81363,233.23257,210.11002
2017-11-21,273.15,264.79355,236.23676,210.11002
2017-11-22,274.05,270.62415,244.40225,210.11002
2017-11-23,274.8,276.88287,246.2525,210.11002
2017-11-24,278.7,283.11908,250.34242,210.11002
2017-11-27,277.45,289.10596,250.91426,210.11002
2017-11-28,287.75,294.48572,252.01268,210.11002
2017-11-29,280.2,299.54532,251.59824,210.11002
2017-11-30,287.1,303.8345,255.48955,210.11002
2017-12-01,283.55,307.54434,255.71184,210.11002
2017-12-04,279.05,310.49353,258.4041,210.11002
2017-12-05,279.95,312.4266,258.001,210.11002
2017-12-06,274.95,313.41327,258.0957,210.11002
2017-12-07,284.0,313.3432,258.84702,210.11002
2017-12-08,288.45,312.843,253.85977,210.11002
2017-12-11,298.35,312.4255,257.2745,210.11002
2017-12-12,287.8,312.78378,255.94757,210.11002
2017-12-13,284.45,313.4693,264.13016,210.11002
2017-12-14,284.3,314.12033,264.62503,210.11002
2017-12-15,286.85,314.57278,264.5154,210.11002
2017-12-18,290.85,314.8976,263.31372,210.11002
2017-12-19,300.65,315.3181,260.01627,210.11002
2017-12-20,300.85,316.37076,262.03934,210.11002
2017-12-21,300.15,318.08737,263.69296,210.11002
2017-12-22,302.75,320.28226,267.5175,210.11002
2017-12-26,305.95,322.85876,268.7276,210.11002
2017-12-27,305.55,325.76495,270.743,210.11002
2017-12-28,306.6,328.7784,272.96368,210.11002
2017-12-29,316.4,331.7402,273.479,210.11002
2018-01-01,312.9,334.9828,272.9231,210.11002
2018-01-02,311.15,338.23553,275.27756,210.11002
2018-01-03,311.2,341.21216,275.7642,210.11002
2018-01-04,312.25,343.75024,277.1648,210.11002
2018-01-05,312.95,345.8192,277.27917,210.11002
2018-01-08,317.6,347.4415,277.07364,210.11002
2018-01-09,315.3,348.87997,276.99414,210.11002
2018-01-10,314.1,350.07382,277.6705,210.11002
2018-01-11,313.3,350.9571,279.3809,210.11002
2018-01-12,325.75,351.4914,279.32898,210.11002
2018-01-15,323.0,352.34253,277.8512,210.11002
2018-01-16,316.4,353.46677,281.01675,210.11002
2018-01-17,313.55,354.45123,282.50925,210.11002
2018-01-18,305.45,355.0174,283.43723,210.11002
2018-01-19,308.35,354.69974,283.0063,210.11002
2018-01-22,308.85,353.6723,278.2249,210.11002
2018-01-23,307.2,352.15942,277.21017,210.11002
2018-01-24,304.25,350.30258,274.52618,210.11002
2018-01-25,304.25,348.14893,275.95126,210.11002
2018-01-29,301.8,345.86697,274.59174,210.11002
2018-01-30,304.0,343.50192,273.66284,210.11002
2018-01-31,290.65,341.29996,274.26617,210.11002
2018-02-01,288.35,338.71353,274.97833,210.11002
2018-02-02,274.85,335.65402,272.54953,210.11002
2018-02-05,273.1,331.58984,270.6561,210.11002
2018-02-06,266.7,326.6186,262.7253,210.11002
2018-02-07,280.15,320.7863,258.83246,210.11002
2018-02-08,280.45,315.1845,252.38031,210.11002
2018-02-09,278.25,310.34546,253.59087,210.11002
2018-02-12,285.1,306.43854,256.17053,210.11002
2018-02-14,281.95,303.8843,256.9406,210.11002
2018-02-15,279.05,302.52136,261.96103,210.11002
2018-02-16,275.6,302.0099,261.06488,210.11002
2018-02-19,267.95,301.92422,263.17883,210.11002
2018-02-20,262.85,301.64874,259.3806,210.11002
2018-02-21,266.6,300.7559,256.0861,210.11002
2018-02-22,262.15,299.4194,250.21147,210.11002
2018-02-23,270.7,297.58618,246.59306,210.11002
2018-02-26,273.5,295.84625,245.52223,210.11002
2018-02-27,275.0,294.5825,247.42667,210.11002
2018-02-28,275.5,293.98907,249.50746,210.11002
2018-03-01,274.85,294.0786,253.46082,210.11002
2018-03-05,275.65,294.70416,255.39043,210.11002
2018-03-06,274.15,295.73334,255.73431,210.11002
2018-03-07,268.9,296.92145,256.85428,210.11002
2018-03-08,273.4,297.8388,254.47314,210.11002
2018-03-09,268.35,298.5736,252.61018,210.11002
2018-03-12,276.05,298.8806,251.93396,210.11002
2018-03-13,278.2,299.1391,248.40279,210.11002
2018-03-14,278.5,299.56537,251.61343,210.11002
2018-03-15,279.6,300.2142,252.0633,210.11002
2018-03-16,272.4,301.10455,255.40402,210.11002
2018-03-19,260.6,301.80096,257.71255,210.11002
2018-03-20,262.05,301.57712,256.0568,210.11002
2018-03-21,263.2,300.43323,253.2286,210.11002
2018-03-22,258.85,298.6025,247.37991,210.11002
2018-03-23,257.9,296.13736,245.35574,210.11002
2018-03-26,262.2,293.23798,243.7027,210.11002
2018-03-27,263.8,290.38257,242.2911,210.11002
2018-03-28,258.75,287.91763,243.21811,210.11002
2018-04-02,276.95,285.7541,245.08841,210.11002
2018-04-03,274.8,284.81406,243.84065,210.11002
2018-04-04,270.25,285.09674,250.55014,210.11002
2018-04-05,273.0,286.18518,251.76428,210.11002
2018-04-06,272.7,287.8919,253.70442,210.11002
2018-04-09,277.8,289.93417,253.21858,210.11002
2018-04-10,275.5,292.31885,251.34056,210.11002
2018-04-11,273.85,294.7596,253.9861,210.11002
2018-04-12,273.85,296.9746,251.58115,210.11002
2018-04-13,275.5,298.81503,254.32423,210.11002
2018-04-16,279.65,300.29935,252.20401,210.11002
2018-04-17,280.95,301.64313,251.48077,210.11002
2018-04-18,284.1,302.95554,254.74352,210.11002
2018-04-19,286.2,304.3965,255.25504,210.11002
2018-04-20,286.3,306.0484,258.67984,210.11002
2018-04-23,283.6,307.8442,259.10678,210.11002
2018-04-24,283.15,309.52954,260.87198,210.11002
2018-04-25,289.1,310.94818,261.25812,210.11002
2018-04-26,291.2,312.32913,259.89087,210.11002
2018-04-27,292.1,313.79025,260.605,210.11002
2018-04-30,297.55,315.3505,261.03955,210.11002
2018-05-02,292.75,317.21863,262.8586,210.11002
2018-05-03,286.65,319.0826,265.5957,210.11002
2018-05-04,287.8,320.46948,266.51685,210.11002
2018-05-07,294.2,321.30826,265.71945,210.11002
2018-05-08,289.7,321.94348,263.5359,210.11002
2018-05-09,292.0,322.2571,264.26266,210.11002
2018-05-10,285.25,322.397,263.4428,210.11002
2018-05-11,287.5,322.0885,264.85938,210.11002
2018-05-14,255.9,321.46594,263.2065,210.11002
2018-05-15,242.65000000000003,319.03122,265.58182,210.11002
2018-05-16,241.1,314.10684,256.43362,210.11002
2018-05-17,247.5,307.00552,247.32314,210.11002
2018-05-18,244.7,298.79175,235.20256,210.11002
2018-05-21,243.55000000000004,290.20255,230.81181,210.11002
2018-05-22,247.15,281.88528,232.88441,210.11002
2018-05-23,250.19999999999996,274.54645,232.62364,210.11002
2018-05-24,254.50000000000003,268.70584,236.49977,210.11002
2018-05-25,257.85,264.73367,235.66525,210.11002
2018-05-28,260.65,262.75842,240.47833,210.11002
2018-05-29,257.5,262.69473,243.51,210.11002
2018-05-30,264.5,264.02502,245.08899,210.11002
2018-05-31,269.2,266.609,242.96848,210.11002
2018-06-01,263.25,270.2776,242.98769,210.11002
2018-06-04,255.24999999999997,274.33334,245.66727,210.11002
2018-06-05,263.75,277.91064,246.05634,210.11002
2018-06-06,265.75,281.06174,243.32722,210.11002
2018-06-07,267.1,283.818,242.19072,210.11002
2018-06-08,266.95,286.2273,242.89653,210.11002
2018-06-11,263.7,288.2754,245.61548,210.11002
2018-06-12,267.6,289.78745,247.7255,210.11002
2018-06-13,269.6,290.9412,247.34436,210.11002
2018-06-14,277.8,291.9041,247.21754,210.11002
2018-06-15,272.15,293.14282,246.70103,210.11002
2018-06-18,275.35,294.43048,252.274,210.11002
2018-06-19,267.05,295.81436,251.83394,210.11002
2018-06-20,260.85,296.80435,253.95212,210.11002
2018-06-21,258.2,296.96115,251.46858,210.11002
2018-06-22,262.1,296.1319,248.4393,210.11002
